Field,ID,Type,default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr
Description,2,Text,,"Need to share project context quickly?

DevProjex builds a clean visual tree for any folder or repository and helps you prepare exactly the output you need.

What you get:
• Preview mode before copy/export
• Copy or export: Tree, Content, Tree + Content
• ASCII/JSON tree format toggle
• Per-project local parameter profiles
• Reset Data action for saved local profiles
• Smart Ignore + .gitignore scopes for mixed workspaces
• Git support: clone, switch branches, get updates in local cache
• Search and filter for large codebases
• Live status bar metrics (lines, chars, ~tokens)
• Progress bar with operation cancel support
• 8 in-app languages

Built for trust:
• Read-only by design — never modifies your files
• No telemetry, no cloud, no account required
• Open-source on GitHub (Apache-2.0)

Works with any project type and any stack.","Need to share project context quickly?

DevProjex builds a clean visual tree for any folder or repository and helps you prepare exactly the output you need.

What you get:
• Preview mode before copy/export
• Copy or export: Tree, Content, Tree + Content
• ASCII/JSON tree format toggle
• Smart Ignore + .gitignore scopes for mixed workspaces
• Git support: clone, switch branches, get updates in local cache
• Search and filter for large codebases
• Live status bar metrics (lines, chars, ~tokens)
• Progress bar with operation cancel support
• 8 in-app languages

Built for trust:
• Read-only by design — never modifies your files
• No telemetry, no cloud, no account required
• Source-available on GitHub

Works with any project type and any stack.","Нужно быстро подготовить контекст проекта?

DevProjex строит наглядное дерево любой папки или репозитория и помогает получить именно тот результат, который нужен.

Что доступно:
• Режим превью перед копированием/экспортом
• Копирование и экспорт: Дерево, Содержимое, Дерево + Содержимое
• Переключатель формата дерева ASCII/JSON
• Smart Ignore + .gitignore с корректными областями для смешанных рабочих папок
• Git-поддержка: клонирование, переключение веток, получение обновлений в локальный кэш
• Поиск и фильтрация для больших проектов
• Живые метрики в статус-баре (строки, символы, ~токены)
• Прогресс-бар с поддержкой отмены операций
• 8 языков интерфейса

Создано для доверия:
• Только чтение — файлы не изменяются
• Без телеметрии, без облака, без аккаунтов
• Исходный код доступен на GitHub

Работает с любыми типами проектов и стэков.","Нужно быстро подготовить контекст проекта?

DevProjex строит наглядное дерево любой папки или репозитория и помогает получить именно тот результат, который нужен.

Что доступно:
• Режим превью перед копированием/экспортом
• Копирование и экспорт: Дерево, Содержимое, Дерево + Содержимое
• Переключатель формата дерева ASCII/JSON
• Локальные профили параметров для каждого проекта
• Действие «Сброс данных» для сохраненных локальных профилей
• Smart Ignore + .gitignore с корректными областями для смешанных рабочих папок
• Git-поддержка: клонирование, переключение веток, получение обновлений в локальный кэш
• Поиск и фильтрация для больших проектов
• Живые метрики в статус-баре (строки, символы, ~токены)
• Прогресс-бар с поддержкой отмены операций
• 8 языков интерфейса

Создано для доверия:
• Только чтение — файлы не изменяются
• Без телеметрии, без облака, без аккаунтов
• Исходный код доступен на GitHub

Работает с любыми типами проектов и стэков.","AI чат үшін жоба контекстін дайындау қажет болғаннан көп уақыт алады. DevProjex мұны жылдамдатады: қалтаны немесе репозиторийді ашасыз, нені қосу керегін таңдайсыз және көшіру алдында live preview арқылы жоба ағашын не файл мазмұнын аласыз.
Smart Ignore және .gitignore қолдауы артық нәрсені автоматты түрде сүзеді - тәуелділіктер, жүйелік қалталар, build артефактілері. Ағаш ASCII немесе JSON пішімінде экспортталады. Кез келген стекпен және кез келген көлемдегі codebase-пен жұмыс істейді.
Git репозиторийлері үшін: клондау, branch ауыстыру, жаңартуларды жергілікті кэшке алу. Үлкен жобалар үшін: іздеу және сүзгілеу, болдырмауы бар progress bar және status bar-дағы тірі метрикалар - жолдар, таңбалар және токендердің шамамен саны.
Жергілікті профильдер әртүрлі жобалар үшін әртүрлі параметрлерді сақтауға мүмкіндік береді.
Қолданба тек оқу режимінде жұмыс істейді: бастапқы файлдар ешқашан өзгертілмейді, телеметрия жиналмайды, аккаунт қажет емес. Бастапқы код GitHub-та ашық.","Die Vorbereitung von Projektkontext für einen KI-Chat kostet mehr Zeit, als sie sollte. DevProjex beschleunigt das: Öffnen Sie einen Ordner oder ein Repository, wählen Sie aus, was einbezogen werden soll, und erhalten Sie einen Projektbaum oder Dateiinhalte mit Live-Vorschau vor dem Kopieren.
Smart Ignore und die Unterstützung für .gitignore filtern unnötiges Rauschen automatisch heraus - Abhängigkeiten, Systemordner, Build-Artefakte. Der Baum lässt sich als ASCII oder JSON exportieren. Funktioniert mit jedem Stack und jeder Größe von Codebasen.
Für Git-Repositories: klonen, Branches wechseln, Updates in den lokalen Cache laden. Für große Projekte: Suche und Filterung, eine Fortschrittsleiste mit Abbruch sowie Live-Metriken in der Statusleiste - Zeilen, Zeichen und geschätzte Tokenzahl.
Lokale Profile ermöglichen es, unterschiedliche Einstellungen für unterschiedliche Projekte zu speichern.
Standardmäßig schreibgeschützt: Quelldateien werden nie verändert, es wird keine Telemetrie erfasst und kein Konto benötigt. Der Quellcode ist auf GitHub verfügbar.",1212,,,
ReleaseNotes,3,Text,,"Version 4.7.0.0: faster project loading and tree processing, smoother search/preview updates, refined ignore and filter behavior, and stability improvements for large repositories.","Version 4.7: added per-project ignore rules persistence, improved performance, and fixed memory leak issues; the app now runs stably and without bugs, and UI adaptability has also been improved.
","Версия 4.7: добавлена функция сохранения игнор правил для каждого проекта, улучшена производительность и исправлены проблемы с утечкой памяти, теперь приложение работает стабильно и без багов, также улучшена адаптивность UI.","Версия 4.7.0.0: ускорены загрузка проекта и обработка дерева, улучшены обновления поиска/превью, доработано поведение игноров и фильтров, повышена стабильность на больших репозиториях.",Алдын ала қарау режимі қайта жасалды - соңғы нәтиже артық қадамдарсыз бірден көрінеді. Контекст жинау сценарийі анығырақ болды. Интерфейс тегістігі мен үлкен жобалардағы тұрақтылық жақсарды. Анықтама жаңартылды.,"Der Vorschaumodus wurde überarbeitet - das Endergebnis ist sofort sichtbar, ohne zusätzliche Schritte. Der Workflow zum Erstellen von Kontext wurde klarer. Die UI läuft flüssiger und ist bei großen Projekten stabiler. Die Hilfe wurde aktualisiert.",,,,
Title,4,Text,,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex
ShortTitle,5,Text,,,,,,,,,,,
SortTitle,6,Text,,,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,,,
ShortDescription,8,Text,,"Build project context fast: preview, copy, and export tree/content in ASCII or JSON. Read-only and safe.","Build project context fast: preview, copy, and export tree/content in ASCII or JSON. Read-only and safe.","Быстро собирайте контекст проекта: превью, копирование и экспорт дерева/содержимого в ASCII или JSON. Только чтение и безопасность.","Быстро собирайте контекст проекта: превью, копирование и экспорт дерева/содержимого в ASCII или JSON. Только чтение и безопасность.","Жоба ағашы мен файл мазмұны - AI чатқа дайын контекст. ASCII/JSON экспорт, Smart Ignore, .gitignore, Git қолдауы. Көшіру алдында алдын ала қарау. Тек оқу, телеметриясыз.","Projektbaum und Dateiinhalte - fertiger Kontext für einen KI-Chat. ASCII/JSON-Export, Smart Ignore, .gitignore, Git-Unterstützung. Vorschau vor dem Kopieren. Nur Lesen, keine Telemetrie.",,,,
DevStudio,9,Text,,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,,,,,,
CopyrightTrademarkInformation,12,Text,,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2025-2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,,,,
AdditionalLicenseTerms,13,Text,,,,,,,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023868723/listingassets/3047416326491583339,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869582/listingassets/3031944961408596069,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869590/listingassets/3059897594150114206,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024123359/listingassets/3025236609585288186,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380166/listingassets/3027935403435956815,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380168/listingassets/3027118908417969222,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380106/listingassets/3023098961152260030,,,
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023868723/listingassets/3025107987167646143,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869582/listingassets/3070926380230688565,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869590/listingassets/3058532152558575096,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024123359/listingassets/3032986695274231562,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380166/listingassets/3003924028089545761,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380168/listingassets/3027964807834213592,,,,
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023868723/listingassets/3047561416136956443,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869582/listingassets/3057687794785580493,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869590/listingassets/3026791770501778890,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024123359/listingassets/3028453239355103439,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380166/listingassets/3016410127449550450,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380168/listingassets/3066182511879764679,,,,
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023868723/listingassets/3039033792579243049,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869582/listingassets/3063292879139810566,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700023869590/listingassets/3063372517869125375,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024123359/listingassets/3049059066389373506,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380166/listingassets/3032122990661530029,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380168/listingassets/3002524330422051123,,,,
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,,,,,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380166/listingassets/3005059333848177584,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505700723672/listings/1152922700024380168/listingassets/3019361830133362658,,,,
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,,,,,,,
DesktopScreenshotCaption1,150,Text,,,,,,,,,,,
DesktopScreenshotCaption2,151,Text,,,,,,,,,,,
DesktopScreenshotCaption3,152,Text,,,,,,,,,,,
DesktopScreenshotCaption4,153,Text,,,,,,,,,,,
DesktopScreenshotCaption5,154,Text,,,,,,,,,,,
DesktopScreenshotCaption6,155,Text,,,,,,,,,,,
DesktopScreenshotCaption7,156,Text,,,,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,,,,
DesktopScreenshotCaption10,159,Text,,,,,,,,,,,
DesktopScreenshotCaption11,160,Text,,,,,,,,,,,
DesktopScreenshotCaption12,161,Text,,,,,,,,,,,
DesktopScreenshotCaption13,162,Text,,,,,,,,,,,
DesktopScreenshotCaption14,163,Text,,,,,,,,,,,
DesktopScreenshotCaption15,164,Text,,,,,,,,,,,
DesktopScreenshotCaption16,165,Text,,,,,,,,,,,
DesktopScreenshotCaption17,166,Text,,,,,,,,,,,
DesktopScreenshotCaption18,167,Text,,,,,,,,,,,
DesktopScreenshotCaption19,168,Text,,,,,,,,,,,
DesktopScreenshotCaption20,169,Text,,,,,,,,,,,
DesktopScreenshotCaption21,170,Text,,,,,,,,,,,
DesktopScreenshotCaption22,171,Text,,,,,,,,,,,
DesktopScreenshotCaption23,172,Text,,,,,,,,,,,
DesktopScreenshotCaption24,173,Text,,,,,,,,,,,
DesktopScreenshotCaption25,174,Text,,,,,,,,,,,
DesktopScreenshotCaption26,175,Text,,,,,,,,,,,
DesktopScreenshotCaption27,176,Text,,,,,,,,,,,
DesktopScreenshotCaption28,177,Text,,,,,,,,,,,
DesktopScreenshotCaption29,178,Text,,,,,,,,,,,
DesktopScreenshotCaption30,179,Text,,,,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,,,,,,,,
MobileScreenshotCaption1,250,Text,,,,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,,,,
MobileScreenshotCaption9,258,Text,,,,,,,,,,,
MobileScreenshotCaption10,259,Text,,,,,,,,,,,
MobileScreenshotCaption11,260,Text,,,,,,,,,,,
MobileScreenshotCaption12,261,Text,,,,,,,,,,,
MobileScreenshotCaption13,262,Text,,,,,,,,,,,
MobileScreenshotCaption14,263,Text,,,,,,,,,,,
MobileScreenshotCaption15,264,Text,,,,,,,,,,,
MobileScreenshotCaption16,265,Text,,,,,,,,,,,
MobileScreenshotCaption17,266,Text,,,,,,,,,,,
MobileScreenshotCaption18,267,Text,,,,,,,,,,,
MobileScreenshotCaption19,268,Text,,,,,,,,,,,
MobileScreenshotCaption20,269,Text,,,,,,,,,,,
MobileScreenshotCaption21,270,Text,,,,,,,,,,,
MobileScreenshotCaption22,271,Text,,,,,,,,,,,
MobileScreenshotCaption23,272,Text,,,,,,,,,,,
MobileScreenshotCaption24,273,Text,,,,,,,,,,,
MobileScreenshotCaption25,274,Text,,,,,,,,,,,
MobileScreenshotCaption26,275,Text,,,,,,,,,,,
MobileScreenshotCaption27,276,Text,,,,,,,,,,,
MobileScreenshotCaption28,277,Text,,,,,,,,,,,
MobileScreenshotCaption29,278,Text,,,,,,,,,,,
MobileScreenshotCaption30,279,Text,,,,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,,,,,,,,
